id express priority volume weight reward duration
0 0 1 22 25 1991 301
1 0 1 25 12 1991 528
2 0 1 7 3 1989 830
3 0 1 26 10 1989 610
4 0 1 28 27 1989 910
5 0 1 15 6 1988 839
6 0 1 28 22 1988 303
7 0 1 18 27 1988 1017
8 0 1 16 8 1987 560
9 0 1 16 28 1987 695
10 0 1 12 3 1987 744
11 0 1 15 23 1986 717
12 0 1 22 12 1986 866
13 0 1 12 4 1986 999
14 0 1 21 22 1985 117
15 0 1 27 24 1985 338
16 0 1 6 20 1985 431
17 0 1 6 21 1984 1003
18 0 1 20 23 1983 909
19 0 1 23 15 1981 703
20 0 1 28 29 1980 540
21 0 1 9 22 1980 638
22 0 1 12 22 1980 524
23 0 1 13 22 1979 263
24 0 1 10 17 1979 247
25 0 1 11 17 1979 289
26 0 1 25 22 1978 129
27 0 1 18 25 1978 608
28 0 1 20 28 1978 432
29 0 1 19 25 1978 517
30 0 1 23 19 1978 910
31 0 1 9 28 1978 998
32 0 1 6 29 1977 790
33 0 1 4 29 1977 771
34 0 1 20 26 1976 751
35 0 1 15 15 1975 709
36 0 1 27 26 1975 730
37 0 1 18 27 1975 771
38 0 1 26 14 1974 881
39 0 1 8 17 1974 214
40 0 1 19 14 1974 810
41 0 1 24 16 1973 279
42 0 1 11 16 1972 926
43 0 1 8 13 1972 441
44 0 1 15 26 1971 296
45 0 1 8 27 1971 1024
46 0 1 13 29 1970 644
47 0 1 29 25 1970 841
48 0 1 23 28 1969 670
49 0 1 16 15 1969 655
50 0 1 22 23 1968 1089
51 0 1 27 24 1968 1079
52 0 1 13 27 1967 169
53 0 1 26 13 1966 543
54 0 1 23 27 1966 763
55 0 1 10 27 1965 999
56 0 1 8 27 1964 461
57 0 1 13 14 1963 985
58 0 1 5 25 1963 761
59 0 1 8 28 1963 911
60 0 1 22 29 1962 1001
61 0 1 11 13 1961 720
62 0 1 15 16 1960 403
63 0 1 3 21 1960 254
64 0 1 25 28 1960 493
65 0 1 7 26 1960 432
66 0 1 6 17 1960 668
67 0 1 24 14 1959 147
68 0 1 13 20 1957 163
69 0 1 26 25 1956 550
70 0 1 15 25 1956 640
71 0 1 14 16 1956 900
72 0 1 25 21 1954 588
73 0 1 15 14 1954 960
74 0 1 15 23 1954 829
75 0 1 10 25 1953 618
76 0 1 20 20 1953 483
77 0 1 26 21 1952 385
78 0 1 15 19 1952 224
79 0 1 16 29 1952 1009
80 0 1 12 17 1952 426
81 0 1 29 22 1951 720
82 0 1 5 29 1951 548
83 0 1 14 15 1950 481
84 0 1 9 25 1950 418
85 0 1 15 26 1949 161
86 0 1 17 29 1949 840
87 0 1 26 27 1947 172
88 0 1 12 17 1947 655
89 0 1 3 25 1946 256
90 0 1 21 25 1946 442
91 0 1 23 16 1945 1005
92 0 1 9 17 1945 265
93 0 1 5 20 1945 619
94 0 1 23 22 1944 206
95 0 1 5 25 1943 377
96 0 1 22 24 1941 991
97 0 1 16 21 1935 1056
98 0 1 13 27 1934 116
99 0 1 28 27 1934 320
100 0 1 24 19 1933 943
101 0 1 19 18 1933 893
102 0 1 13 24 1933 1073
103 0 1 9 26 1933 944
104 0 1 24 16 1933 984
105 0 1 6 17 1933 624
106 0 1 3 29 1932 707
107 0 1 28 16 1930 809
108 0 1 23 20 1930 169
109 0 1 11 23 1929 771
110 0 1 4 24 1927 1035
111 0 1 5 26 1926 755
112 0 1 5 14 1926 958
113 0 1 16 20 1925 738
114 0 1 13 29 1925 850
