matricula volMax pesoMax custo
AK-43-SE 391 395 13796
ZK-08-LJ 325 316 13378
RF-24-KE 255 275 13025
SE-25-FZ 343 277 15226
AW-41-BS 344 306 14015
UP-77-BW 365 259 16982
KV-72-RO 288 346 13476
SR-70-GX 382 304 14967
JF-79-KW 256 289 14860
IC-18-ES 265 274 14952
IO-64-MX 287 342 15977
GY-50-KY 393 377 16543
NP-11-XC 366 375 15556
YQ-74-FN 259 354 13356
QV-09-KU 365 301 13406
LX-78-FE 394 379 13241
SW-32-OH 281 287 14581
WS-73-BY 262 384 15363
OM-91-SI 397 321 13931
TO-87-EB 268 346 14777
XE-51-DP 296 271 13742
WU-47-GV 394 351 15473
AJ-19-FO 336 345 14342
SS-46-DR 292 316 16581
IK-37-DL 398 378 15048
PS-75-SK 368 308 16575
VY-82-LI 355 322 13718
IN-49-NR 285 258 13044
KO-82-SW 292 289 14548
QK-18-NG 335 265 15168
HI-66-NH 277 399 14862
HE-38-SA 259 310 16154
EU-60-EJ 278 386 16833
NG-16-SY 308 371 13865
EP-92-PV 310 387 14105
PB-90-IY 258 289 14932
LR-49-BH 370 366 13618
AO-76-GQ 253 386 13481
UW-05-RK 385 254 14819
BT-24-SF 395 315 16790
MT-28-IH 328 398 13956
XV-02-KY 309 377 15136
NO-53-SB 388 268 14521
MU-15-DY 262 389 15106
GD-20-KK 335 383 16287
HJ-38-UB 378 272 15057
JG-66-ZH 335 381 15531
MF-13-CA 376 262 16090
QX-45-XL 287 304 15787
JT-75-KM 360 331 15444
