id express priority volume weight reward duration
0 0 0 3 19 754 984
1 0 0 16 13 1121 641
2 0 0 25 28 1370 535
3 0 0 6 26 1991 318
4 0 0 16 26 1590 728
5 0 0 19 28 946 1021
6 0 0 19 16 1967 865
7 0 0 16 13 367 703
8 1 0 3 19 585 827
9 0 0 13 29 1511 325
10 1 0 23 16 868 608
11 0 0 25 13 1251 384
12 0 0 26 22 1628 925
13 0 0 20 13 1542 128
14 0 0 9 9 1137 1019
15 1 0 6 26 1291 1035
16 1 0 3 23 1410 1028
17 0 0 3 19 1432 1051
18 0 0 22 16 982 229
19 0 0 3 20 1645 316
20 0 0 13 3 621 723
21 0 0 10 3 1886 632
22 0 0 26 16 403 402
23 0 0 3 16 501 692
24 1 0 3 13 1907 307
25 0 0 23 16 1918 1042
26 0 0 25 28 724 816
27 0 0 6 6 564 1017
28 0 0 13 26 396 664
29 0 0 13 22 590 660
30 0 0 29 16 1051 169
31 0 0 16 13 707 359
32 0 0 19 25 854 790
33 0 0 6 3 1347 609
34 0 0 29 20 1991 704
35 0 0 25 19 1889 468
36 0 0 3 13 472 300
37 0 0 7 13 898 325
38 0 0 19 3 762 269
39 0 0 16 19 1193 338
40 1 0 7 23 1303 229
41 0 0 25 16 620 1002
42 0 0 19 19 1437 576
43 0 0 29 20 1160 237
44 0 0 19 19 873 118
45 0 0 6 19 1591 138
46 0 0 3 10 579 103
47 0 0 19 25 1263 748
48 0 0 16 13 1718 114
49 0 0 3 20 1263 905
50 1 0 22 13 293 191
51 0 0 3 19 600 422
52 0 0 7 26 634 751
53 0 0 3 9 1558 1056
54 1 0 26 26 1790 648
55 0 0 26 20 971 308
56 0 0 13 9 820 552
57 0 0 16 10 1508 454
58 0 0 23 26 1520 942
59 0 0 22 13 667 765
60 0 0 26 22 1348 605
61 0 0 3 7 1565 226
62 0 0 25 6 216 182
63 0 0 29 29 763 971
64 0 0 23 20 1536 804
65 0 0 22 19 783 277
66 0 0 16 6 1332 642
67 1 0 7 3 1823 958
68 0 0 28 6 1065 121
69 0 0 16 10 1081 1064
70 0 0 7 20 1880 705
71 0 0 16 28 1821 660
72 0 0 26 6 1627 732
73 0 0 13 10 483 694
74 0 0 25 28 221 802
75 1 0 26 26 496 520
76 0 0 13 20 1925 840
77 0 0 6 28 1820 271
78 0 0 29 29 1019 326
79 0 0 26 26 716 445
80 0 0 25 28 521 989
81 0 0 19 13 1784 152
82 1 0 16 20 816 1079
83 0 0 25 28 1909 396
84 0 0 10 10 588 654
85 0 0 26 29 1233 434
86 0 0 19 6 1204 453
87 0 0 13 3 466 937
88 0 0 7 20 412 756
89 0 0 19 9 1059 580
90 0 0 22 3 480 1037
91 0 0 13 10 738 190
92 0 0 9 22 909 192
93 0 0 10 10 1856 576
94 1 0 7 26 1166 552
95 0 0 25 6 653 107
96 0 0 19 22 1719 159
97 0 0 3 13 633 583
98 0 0 22 16 1819 768
99 0 0 26 22 1487 269
100 0 0 20 10 1663 207
101 0 0 25 6 647 415
102 0 0 16 6 755 874
103 0 0 16 10 1309 888
104 0 0 9 19 1281 241
105 0 0 22 16 644 313
106 0 0 10 3 547 766
107 0 0 16 22 1579 619
108 0 0 16 29 1694 404
109 0 0 26 7 738 375
110 0 0 6 22 794 783
111 0 0 22 3 338 357
112 0 0 10 26 410 192
113 0 0 19 22 735 193
114 0 0 19 13 1688 640
115 0 0 29 26 719 600
116 0 0 6 3 615 970
117 0 0 22 19 287 752
118 0 0 23 20 437 996
119 0 0 9 22 452 901
120 0 0 19 13 1537 614
121 0 0 13 26 1253 542
122 1 0 25 19 1753 524
123 0 0 6 10 1572 528
124 0 0 10 26 1229 237
125 0 0 13 25 1467 1058
126 0 0 13 26 1073 1066
127 0 0 10 10 1285 483
128 0 0 9 19 775 997
